RID,f_ipv4,service_type,program,length_bp,dbid,dbsize_bp,started_at,run_time
T88BV2S5014,-357794446,8,0,907,779763,270748224244,2019-10-02T00:03:08.243,19
T88BWYSU014,-648060343,1,2,10490,3820442,28272785,2019-10-02T00:03:08.807,14
T88BW501014,-1378335882,11,1,162,3820422,85971353635,2019-10-02T00:03:08.790,30
T88BWW8Z014,-1378335882,11,1,193,3820422,85971353635,2019-10-02T00:03:24.167,51
T88BXXFJ004,-317190526,11,1,168,3820422,85971353635,2019-10-02T00:06:17.860,221
T88BYEHN004,1696075394,11,1,89,3820422,85971353635,2019-10-02T00:04:11.267,231
T88BY8KB014,2130789544,8,0,10275,62073,251782689291,2019-10-02T00:03:31.137,242
T88BYZH8004,890834562,8,0,407,6154732,251782689291,2019-10-02T00:55:47.670,144
T88BY5R2014,1063578045,11,0,50,6154732,251782689291,2019-10-02T00:03:14.057,3
T88BZVSB004,890834562,1,2,407,3820422,85971353635,2019-10-02T00:55:47.937,103
T88BZV6E014,-357794446,8,0,907,779763,270748224244,2019-10-02T00:03:21.400,14
T88BZVEM014,40491465,11,0,158,6154732,251782689291,2019-10-02T00:03:11.960,3
T88BZTXJ004,-317190526,11,1,201,3820422,85971353635,2019-10-02T00:06:30.880,246
T88BZ7RF004,890834562,8,0,407,93623,561692980667,2019-10-02T00:55:55.873,88
T88BZ12A014,368992130,11,1,2276,3820422,85971353635,2019-10-02T00:03:11.977,53
T88C06R5004,1696075394,8,0,467,6154732,251782689291,2019-10-02T00:04:41.363,427
T88C0RN1014,-1479762754,1,3,1074,1536283,23135365657,2019-10-02T00:03:20.307,98
T88C0R9G004,1696075394,1,2,467,3820422,85971353635,2019-10-02T00:04:51.160,196
T88C12F2004,1696075394,8,0,467,93623,561692980667,2019-10-02T00:04:56.990,86
T88C11PJ004,-317190526,11,1,158,3820422,85971353635,2019-10-02T00:06:35.290,265
T88C3EBM004,890834562,8,0,407,6154732,251782689291,2019-10-02T00:55:56.280,140
T88C3S92004,890834562,1,2,407,3820422,85971353635,2019-10-02T00:55:56.407,96
T88C3DUU004,-317190526,11,1,225,3820422,85971353635,2019-10-02T00:08:11.553,186
T88CC93P004,-317190526,11,1,486,3820422,85971353635,2019-10-02T00:08:11.583,188
T88CD9R1014,-121581410,11,0,1162,6154732,251782689291,2019-10-02T00:03:25.807,3
T88CE16J004,-317190526,11,1,492,3820422,85971353635,2019-10-02T00:08:17.477,260
T88CHUMR014,1812553938,8,0,528,0,123456,2019-10-02T00:03:29.950,2
